,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_mse_train,metric_mse_test,metric_mae_train,metric_mae_test,metric_r2_train,metric_r2_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo,metric_wape_train,metric_wape_test
169,DecisionLatticeRegressor,diabetes,2,354,88,71.400012,42,5289.317272169932,6225.2300487437915,58.719708953397976,65.36186489926094,0.0954581725219562,0.005329405144699817,,,Sofia,"{'L_max': 100, 'random_state': 42}",exact,0.3850544044439627,0.4338067811399776
170,DecisionTreeRegressor,diabetes,3,354,88,0.004872,42,0.0,5181.363636363636,0.0,57.93181818181818,1.0,0.01237154510166849,,,,,,0.0,0.3679803666811029
171,RandomForestRegressor,diabetes,3,354,88,0.015648,42,1104.374528179275,3914.3535346838453,23.82804660333573,49.512376119869444,0.8186907699627617,0.2538784758796049,5.0,10.0,,,,0.1579937533495823,0.3145004402012784
172,RandomForestRegressor,diabetes,3,354,88,0.26567,42,494.7300152542373,3409.217839772727,17.833502824858762,46.59034090909092,0.9187783529470396,0.3501632419936447,,,,,,0.11824645526232,0.2959398007795583
173,GradientBoostingRegressor,diabetes,3,354,88,0.075128,42,1007.6733023956572,3517.581239835873,25.181180984340173,45.8261980579051,0.8345665660293283,0.3295079116823746,,,,,,0.1669658182108004,0.2910859989241843
174,LGBMRegressor,diabetes,3,354,88,83.77260600000002,42,476.23026480149764,3823.298722349987,17.354760265609364,48.41476921541789,0.9218155250520472,0.2712345871135695,,,,,,0.11507211474321893,0.30752848931404464
175,CatBoostRegressor,diabetes,3,354,88,6.956671000000001,42,141.60690032966002,3459.2479832664917,9.384100589362747,45.45805893981346,0.976751874104649,0.34062691202631445,,,,,,0.062222023424945455,0.2887475954023087
176,DecisionLatticeRegressor,diabetes,3,354,88,3.178171,42,284.2365598867202,3383.2260960522503,6.9162472390655445,46.39896332674397,0.953335838063508,0.3551175720681853,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.04585872600403085,0.2947241787753334
177,DecisionLatticeRegressor,diabetes,3,354,88,3.590164,42,5462.897430787798,4892.609909558761,63.18475902982831,61.28832934925272,0.10313602706729808,0.06741137960565646,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.4189515573724779,0.38930077831198495
178,DecisionLatticeRegressor,diabetes,3,354,88,141.08170199999995,42,284.2365598867202,3851.201270940322,6.9162472390655445,48.44713452169743,0.953335838063508,0.26591603530249874,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact,0.04585872600403085,0.3077340723191406
