,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
158,DecisionLatticeClassifier,breast,0,559,140,7.499182000000001,42,0.992844364937388,0.9285714285714286,0.9889502762430941,0.918032786885246,0.9947368421052633,0.9259718775847808,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
159,DecisionLatticeClassifier,breast,0,559,140,0.826069,42,0.998211091234347,0.9,0.9971988795518208,0.8793103448275862,0.9972067039106144,0.892059553349876,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
160,DecisionLatticeClassifier,breast,0,559,140,0.918781,42,0.7602862254025045,0.75,0.7276422764227642,0.7798742138364779,0.8236842105263158,0.7756410256410257,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
161,DecisionLatticeClassifier,breast,0,559,140,14.095912,42,0.6797853309481217,0.5571428571428572,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",
162,DecisionLatticeClassifier,breast,0,559,140,14.098451999999998,42,0.6797853309481217,0.5571428571428572,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
163,DecisionLatticeClassifier,breast,0,559,140,14.784623000000002,42,0.6797853309481217,0.5571428571428572,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
164,DecisionTreeClassifier,breast,1,559,140,0.0033619999999999995,42,1.0,0.9285714285714286,1.0,0.921875,1.0,0.9280427631578948,,,,,
165,RandomForestClassifier,breast,1,559,140,0.01128,42,0.9892665474060824,0.9642857142857144,0.9831460674157304,0.9618320610687024,0.9891146803916347,0.9658717105263158,5.0,10.0,,,
166,RandomForestClassifier,breast,1,559,140,0.170168,42,1.0,0.9642857142857144,1.0,0.9618320610687024,1.0,0.9658717105263158,,,,,
167,GradientBoostingClassifier,breast,1,559,140,0.076172,42,1.0,0.9571428571428572,1.0,0.953846153846154,1.0,0.9580592105263158,,,,,
168,LGBMClassifier,breast,1,559,140,0.9466979999999999,42,1.0,0.9642857142857144,1.0,0.9618320610687024,1.0,0.9658717105263158,,,,,
169,CatBoostClassifier,breast,1,559,140,6.563394000000001,42,1.0,0.9642857142857144,1.0,0.9618320610687024,1.0,0.9658717105263158,,,,,
170,DecisionLatticeClassifier,breast,1,559,140,0.416476,42,0.998211091234347,0.9571428571428572,0.9971830985915492,0.9545454545454544,0.99869109947644,0.9592927631578948,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
171,DecisionLatticeClassifier,breast,1,559,140,0.467,42,0.33989266547406083,0.4642857142857143,0.4896265560165976,0.6305418719211823,0.5170157068062827,0.506578947368421,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
172,DecisionLatticeClassifier,breast,1,559,140,9.202881,42,0.998211091234347,0.95,0.9971830985915492,0.9457364341085271,0.99869109947644,0.950246710526316,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
173,DecisionLatticeClassifier,breast,1,559,140,0.8302620000000001,42,1.0,0.9571428571428572,1.0,0.953846153846154,1.0,0.9580592105263158,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
174,DecisionLatticeClassifier,breast,1,559,140,11.602415,42,0.7441860465116279,0.7785714285714286,0.7122736418511065,0.8025477707006369,0.8128272251308901,0.7948190789473684,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
175,DecisionLatticeClassifier,breast,1,559,140,15.773415,42,0.6833631484794276,0.5428571428571428,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",
