,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
10,RandomForestRegressor,calhouse,3,16512,4128,0.25656,186.640916,42,4,0.47477973675156093,0.6899962970016769,0.5079417425843462,0.6434593614152745,0.6493626059339963,0.4118603192351892,30.87619586947863,44.22060076036247,0.32394605567999724,0.4527559654744733,0.4801519710375916,0.6895975884655302,0.5145234644262521,0.6504719444838377,0.6453950688119318,0.41220017078538795,31.697369027108017,45.52347781457252,0.32577365974902356,0.4526251359655321,0.004654787233565758,0.0035171568310703055,0.05680952021418506,0.049883208185509946,0.9942141112382408,0.9931771402752542,2.6699798324636816,2.4807378915122826,0.03210635429430237,0.029843420328968813,10
11,GradientBoostingRegressor,calhouse,3,16512,4128,0.330158,186.860675,42,,0.6174147986359451,0.7848319185414303,0.6090478912055334,0.7312123380752367,0.5440228398694766,0.3310242445781284,40.54466657607237,54.0048365449611,0.3694155105784913,0.48286878326465593,0.6174147986359451,0.7848319185414303,0.6090478912055334,0.7312123380752367,0.5440228398694766,0.3310242445781284,40.544666576072366,54.00483654496111,0.3694155105784913,0.48286878326465593,7.441554430080418e-32,7.634446018308969e-32,1.7164349184006175e-16,1.677168309487034e-16,1.0,1.0,7.473762349599151e-15,7.887220829089448e-15,1.2825031488846952e-16,1.3435104467736993e-16,10
12,DecisionTreeRegressor,calhouse,4,16512,4128,0.105808,33.425551,42,10,0.187023375767803,0.6245089675593629,0.2929771766407309,0.5487611345426239,0.8548723621473924,0.5714200251451524,17.271580870285828,26.49563166080181,0.21401907606228388,0.3496550787965432,0.187023375767803,0.6254742023682753,0.2929771766407309,0.5492031345771012,0.8548723621473924,0.570757616226111,17.27158087028583,26.51259947010793,0.21401907606228388,0.34992518616289625,2.4369218948693386e-32,0.0016533885288481228,5.088354102838559e-17,0.0009952390929398734,1.0,0.9984460344242441,2.4666727911410342e-15,0.0392416355453716,7.725477712427608e-17,0.020065365340041816,
13,RandomForestRegressor,calhouse,4,16512,4128,0.308618,189.508381,42,4,0.48812944697394967,0.5776664424664262,0.507793504387699,0.571558427199154,0.6212180786770685,0.6035665102547679,31.89552491314166,32.26060503263375,0.3457578451023259,0.3362862195878232,0.49315128007881526,0.5931513047792031,0.514924970135364,0.5835182838779694,0.6173212033629152,0.5929397582858142,32.596596038403035,32.94461349427262,0.3475318573084942,0.3407636381929799,0.00376331460576449,0.005037843239861123,0.04138136536436474,0.0485103945842878,0.9945668657614001,0.9935091620919994,1.8660446363019043,2.0871740760745356,0.030420979373320545,0.034042910415463985,10
14,GradientBoostingRegressor,calhouse,4,16512,4128,0.342111,190.972845,42,,0.6314352448055602,0.7154918393748659,0.6071007126184842,0.6677036208274828,0.5100146965089161,0.5089814711123738,40.81498330658205,39.8668785364701,0.3932501967600024,0.374259509183628,0.6314352448055603,0.7154918393748662,0.6071007126184842,0.6677036208274829,0.510014696508916,0.5089814711123737,40.81498330658205,39.8668785364701,0.39325019676000245,0.374259509183628,1.705537868115574e-31,2.364862815433629e-31,2.710606287229806e-16,4.1213802396695493e-16,1.0,1.0,1.2339252723265352e-14,2.052124522817018e-14,2.043785069771719e-16,2.359837269881554e-16,10
15,DecisionTreeRegressor,boston,0,404,102,0.003334,0.992536,42,10,0.8931380350381515,12.210522689752427,0.5624149741250789,2.6690348386715166,0.9907932102526539,0.6464324973902078,3.11002412064024,13.379816551532308,0.041879645181091926,0.15599120092656404,0.8931380350381515,12.210522689752427,0.5624149741250793,2.6690348386715166,0.9907932102526539,0.6464324973902078,3.110024120640241,13.379816551532308,0.041879645181091926,0.15599120092656404,3.0675754507480435e-30,0.0,6.837215062543043e-16,0.0,1.0,1.0,3.750555104158772e-15,0.0,7.76142254871225e-17,0.0,
16,RandomForestRegressor,boston,0,404,102,0.020064,6.812452,42,4,8.683074311056117,9.95474820881097,2.1837496940423233,2.439977358233806,0.9104917309460894,0.7117506307692746,11.559076368054967,12.876829788338192,0.13058114131794693,0.1408471663207528,8.936293827487592,9.901891730192995,2.20675456649143,2.4336491373325737,0.9078814526282372,0.7132811412655524,11.646790965538052,12.861429795879179,0.13247149003603864,0.14047274229632378,0.12637788297828964,0.0020423653685139815,0.0387618164757709,0.006328220901234693,0.9984076132964799,0.9999070353833601,0.11583724275918061,0.01388179051923388,0.015811682070973505,0.0019138511061843125,10
17,GradientBoostingRegressor,boston,0,404,102,0.013323,6.801331,42,,21.931305251793603,12.520917880464204,3.547713932480934,2.888461314918312,0.7739241769840133,0.6374447042227493,20.052212849299625,14.551973988961581,0.2075276370269365,0.15796143036805707,22.063459323839876,12.530298415822786,3.556267310549487,2.8897643182138237,0.7725618850337732,0.6371730817423571,20.081311340250913,14.555144902436028,0.20815195989636817,0.15802059078148603,0.008263648022998614,8.658869699376474e-05,0.008882354148116344,0.0013030032955144689,0.9997480287298125,0.9999910335644052,0.02829357479202857,0.003457742270934141,0.004028372352508496,0.0003996384445410731,10
18,DecisionTreeRegressor,boston,1,405,101,0.00522,1.117775,42,10,0.42932142914779076,28.49531175555987,0.3610116079353552,3.749093611041776,0.9947424174275159,0.6869911246248099,2.006427495810625,15.040531165867202,0.02969967860114561,0.21857946216534474,0.42932142914779076,28.49531175555987,0.36101160793535614,3.749093611041776,0.9947424174275159,0.6869911246248099,2.006427495810628,15.040531165867202,0.02969967860114561,0.21857946216534474,7.193242772793078e-30,1.843278946853057e-30,1.4188924383851382e-15,3.341661381049976e-16,1.0,1.0,9.061912610260592e-15,1.2944252787251326e-15,1.2156899470704255e-16,6.30759054826304e-17,
19,RandomForestRegressor,boston,1,405,101,0.018442,7.741024,42,4,7.604910459326007,14.57570776788202,2.065110556330001,2.8458369959764123,0.9068682763503735,0.8398920518800082,11.062873931651982,11.569573078491976,0.12499928213368675,0.15632825237056475,7.604910459326001,14.606946411085532,2.0651105563300005,2.853420093571883,0.9068682763503735,0.839548908675917,11.062873931651989,11.591301151831432,0.12499928213368669,0.15649568399061187,9.349462580397177e-29,0.005807840283390504,7.82474222590135e-15,0.007583097595478722,1.0,0.9999213085132296,4.204756152695597e-14,0.022824711358774438,4.398557204274149e-16,0.0034105016969252586,10
20,GradientBoostingRegressor,boston,1,405,101,0.015096,7.081908,42,,19.01336756252637,27.31491309078562,3.29004920037251,3.605467671846184,0.7671573251318841,0.6999573017182497,18.96184129454333,13.125122096283926,0.19764689150525172,0.21400432877612116,19.013367562526366,27.314913090785602,3.2900492003725086,3.6054676718461836,0.7671573251318842,0.6999573017182499,18.961841294543316,13.12512209628392,0.19764689150525172,0.21400432877612108,2.897554278041425e-29,1.6089638264903805e-29,4.2851867459112214e-15,1.7411814564418296e-15,1.0,1.0,1.9124905433750567e-14,6.027082997830033e-15,2.439923761157449e-16,1.7887491607056428e-16,10
