,ensemble_model,ds,fold_id,train_size,test_size,ensemble_time,dl_time,param_random_state,param_max_depth,ensemble_metric_mse_train,ensemble_metric_mse_test,ensemble_metric_mae_train,ensemble_metric_mae_test,ensemble_metric_r2_train,ensemble_metric_r2_test,ensemble_metric_wape_train,ensemble_metric_wape_test,ensemble_metric_rmse_perc_train,ensemble_metric_rmse_perc_test,dl_metric_mse_train,dl_metric_mse_test,dl_metric_mae_train,dl_metric_mae_test,dl_metric_r2_train,dl_metric_r2_test,dl_metric_wape_train,dl_metric_wape_test,dl_metric_rmse_perc_train,dl_metric_rmse_perc_test,dl_ens_metric_mse_train,dl_ens_metric_mse_test,dl_ens_metric_mae_train,dl_ens_metric_mae_test,dl_ens_metric_r2_train,dl_ens_metric_r2_test,dl_ens_metric_wape_train,dl_ens_metric_wape_test,dl_ens_metric_rmse_perc_train,dl_ens_metric_rmse_perc_test,param_n_estimators
10,GradientBoostingRegressor,calhouse,2,16512,4128,0.614504,190.666763,42,6,0.4506058983674171,0.6145048140683688,0.5124913536874409,0.5695236987403729,0.6474033850645955,0.5728246511234724,35.156324447074525,28.21319786517523,0.3364281601851871,0.33193333350493004,0.4506183795107144,0.6145010213972895,0.5125010942909265,0.5695145716778094,0.6473936186392267,0.5728272876131375,35.156750679964176,28.212868929912027,0.33643281944399345,0.33193230917129757,8.652153719990018e-07,2.781954048872217e-07,2.5504526273614936e-05,1.8050988342277928e-05,0.9999975641497221,0.9999993044556789,0.0009297216791665202,0.0007689490223311606,0.0004661825550745104,0.00024531346428085675,10
11,XGBRegressor,calhouse,2,16512,4128,0.110437,185.439852,,6,0.21984953666728782,0.4160003154148731,0.32127053741776784,0.4663260484880717,0.8279689575638985,0.71081580517883,18.734456364752692,23.227297561117894,0.23499395022956188,0.27310839666044456,0.21984953828224912,0.41566385763197655,0.3212705388366955,0.46617601236644957,0.8279689563002002,0.7110496950809115,18.734456459720242,23.222923995333026,0.2349939510926661,0.2729979303583676,1.8234203476518803e-14,4.4314137777716566e-05,1.0065070398034671e-07,0.0003429884656723158,0.99999999999998,0.9999562688654051,5.450742853892897e-06,0.014799966402244052,6.91750819993542e-08,0.0029568021307906224,10
12,DecisionTreeRegressor,calhouse,3,16512,4128,0.094267,26.915281,42,10,0.20338377062279608,0.7965697749791321,0.3039568501781599,0.5969400277343042,0.8497957056583236,0.32101911966929675,16.79852529354515,36.068226614099075,0.21202386941506343,0.48646624752439455,0.20338377062279606,0.796569774979132,0.3039568501781599,0.5969400277343042,0.8497957056583236,0.32101911966929675,16.79852529354515,36.06822661409909,0.21202386941506343,0.48646624752439455,3.769709272348187e-32,2.3003665568308938e-32,8.145131855807381e-17,5.448914360200017e-17,1.0,1.0,4.557757232354227e-15,3.1971315202624344e-15,9.12810312019708e-17,7.864397615222994e-17,
13,RandomForestRegressor,calhouse,3,16512,4128,0.331157,179.072539,42,6,0.3460764798981507,0.6759563351288765,0.4198743849547403,0.6222954334606887,0.7444133654707319,0.42382771490050075,24.326705694661264,39.59617021194143,0.2765748280816578,0.4481259797958919,0.3510889353214182,0.668895449764685,0.42867600477137924,0.6247017452656121,0.7407115345553865,0.4298462788870875,25.17179120931003,40.46754305168382,0.27857053619671607,0.4457793247776139,0.00468313619793167,0.0036008942309381686,0.05704875614238813,0.0503299270598716,0.9949397316896881,0.9942355291873709,2.774085709814254,2.785163222304558,0.03218858447323143,0.032063665995145596,10
14,GradientBoostingRegressor,calhouse,3,16512,4128,0.549609,180.107873,42,6,0.4502536358709624,0.6586854683600961,0.5171575610611444,0.6344981955945681,0.6674757801781468,0.4385490722643902,33.63229519039282,44.98855390001278,0.31546793501947884,0.4423640671912541,0.45025363587096234,0.6586949408658472,0.5171575610611444,0.6345004404665248,0.6674757801781469,0.4385409980811914,33.632295190392824,44.98900797418526,0.31546793501947884,0.4423672479818642,3.3671824491265086e-31,3.118020285786572e-07,4.4021633883392834e-16,1.2084180742687135e-05,1.0,0.9999986697266592,2.0693343983728742e-14,0.0005678059612468308,2.72809778698287e-16,0.00028882982305226046,10
15,XGBRegressor,calhouse,3,16512,4128,0.106578,187.365582,,6,0.23151091744390717,0.5009199934653047,0.33062413712732663,0.49067880571133865,0.8290230637352607,0.5730253534321801,18.000574074876905,29.184982012814093,0.22621028492368472,0.38576692067445667,0.231510915915714,0.5013366644726193,0.3306241296767848,0.4905888049515605,0.8290230648638718,0.572670191014221,18.00057382773676,29.174205773427804,0.22621028417708275,0.3859273300028035,2.928299048025203e-14,0.00034673663875312396,1.2239798434510174e-07,0.0010619364560817733,0.9999999999999704,0.9993060349911549,6.005776427090267e-06,0.07835127114999033,8.226729546353653e-08,0.010704752076098348,10
16,DecisionTreeRegressor,calhouse,4,16512,4128,0.089252,29.79308,42,10,0.187023375767803,0.6245089675593629,0.2929771766407309,0.5487611345426239,0.8548723621473924,0.5714200251451524,17.271580870285828,26.49563166080181,0.21401907606228388,0.3496550787965432,0.187023375767803,0.6254742023682753,0.2929771766407309,0.5492031345771012,0.8548723621473924,0.570757616226111,17.271580870285828,26.51259947010793,0.21401907606228388,0.34992518616289625,2.2141709276580397e-32,0.0016533885288481228,5.562377378250826e-17,0.0009952390929399324,1.0,0.9984460344242441,3.594737535509663e-15,0.03924163554537527,7.363937791305108e-17,0.020065365340041816,
17,RandomForestRegressor,calhouse,4,16512,4128,0.402682,204.508583,42,6,0.3527665344762013,0.5212006466665985,0.4233779711492629,0.521482769642264,0.7262578880752122,0.6423171297032368,26.111314890034215,26.811304802915377,0.29393291949034417,0.3194279941139898,0.35728918166170054,0.5369482014012483,0.4313724768578593,0.535024171255703,0.72274837435706,0.6315101005606809,26.810863275018892,27.492929715564024,0.2958111039338141,0.3242176826462908,0.0037704188728674252,0.005144955894852249,0.04139486853063881,0.04878696423009378,0.9953167962006072,0.9940559897240808,1.9145223482257858,2.211260027293411,0.030429515910237237,0.035566666745189844,10
18,GradientBoostingRegressor,calhouse,4,16512,4128,0.544869,187.86305,42,6,0.44353116173847057,0.6628071162809673,0.5050603299861005,0.6278187300574797,0.6558257514448711,0.545137264658559,33.52889710572887,34.92709941938242,0.3295843701350232,0.3602168985479852,0.44354616369498945,0.662707303465499,0.5050657805674958,0.6277563667471099,0.6558141101272881,0.5452057629126528,33.529319227514605,34.92409550931461,0.32958994400334124,0.36018977480742814,1.2426718623887765e-06,9.765737530056989e-06,2.1922339382736965e-05,0.00012550729584611843,0.999996587449564,0.9999736015950011,0.0009332229334168807,0.0054110635195699945,0.0005516743238132275,0.0015546279896421435,10
19,XGBRegressor,calhouse,4,16512,4128,0.120066,204.445538,,6,0.2191722085843715,0.5120315708460134,0.3188714942816593,0.5085702263887122,0.8299252979248986,0.6486095650224383,18.103292068857538,23.86737902099878,0.23168466062507384,0.31660580330620025,0.21917220895250822,0.5114443932653867,0.31887149086011146,0.508116449811805,0.8299252976392293,0.6490125256936418,18.103291960909406,23.851919730690092,0.23168466081965058,0.3164242157171149,2.1533259583245293e-14,7.253123215480421e-05,1.0274866405475597e-07,0.0005683125607320565,0.9999999999999771,0.9999168480174341,5.168995617375913e-06,0.02713524120983003,7.423369323080728e-08,0.004299912681650341,10
